"","gender","age","job","account","YearlyIncome","YearlyOutcome","transaction_type","yearly_deposit_transactions","yearly_withdrawl_transactions","average_deposit_ammount","average_withdrawl_ammount","transaction_amount","weekly_deposits","weekly_withdrawls","weekly_amount","observed_weekly_amount","flag"
"12652","Male","27","Private Business","Current","50200093","3480515","Withdrawl","3585","1835","14002","1896","65105","68","47","672135","672081","Normal"
"12653","Female","36","Employee","Saving","2028407","0","Withdrawl","27","717","75126","0","0","0","20","3606056","3606011","Normal"
"12654","Female","55","Private Business","Current","49763163","3404983","Withdrawl","3626","1852","13723","1838","52552","68","31","658751","660655","Normal"
"12655","Female","43","Employee","Current","1814932","716148","Withdrawl","136","783","13345","914","40678","2","16","640564","640062","Normal"
"12656","Male","37","Employee","Saving","1927945","0","Withdrawl","25","734","77117","0","0","1","14","3701654","3701209","Normal"
"12657","Male","19","Student","Saving","620769","517417","Withdrawl","22","155","28216","3338","43996","1","3","1354405","1352879","Normal"
"12658","Male","64","Employee","Saving","2027742","0","Withdrawl","45","705","45060","0","0","0","17","2162924","2162890","Normal"
"12659","Female","22","Employee","Current","1959344","989687","Deposit","135","798","14513","1240","1531478","2","13","696655","696050","dep_Suspicious"
"12660","Female","69","Private Business","Current","50119703","3443346","Withdrawl","3518","1818","14246","1894","23831","80","34","683839","683672","Normal"
"12661","Male","63","Employee","Saving","2045333","0","Withdrawl","46","678","44463","0","0","1","14","2134260","2133548","Normal"
"12662","Female","57","Employee","Saving","1865908","0","Withdrawl","36","702","51830","0","0","0","15","2487877","2487288","Normal"
"12663","Male","23","Employee","Investment","5051156","971904","Withdrawl","2","1","2525578","971904","853886","0","0","121227744","121228350","Normal"
"12664","Male","36","Employee","Current","1941322","981196","Deposit","153","814","12688","1205","599873","2","20","609042","607895","dep_Suspicious"
"12665","Male","22","Employee","Saving","1939867","0","Withdrawl","32","742","60620","0","0","0","15","2909800","2909934","Normal"
"12666","Female","33","Employee","Saving","2010942","0","Withdrawl","37","703","54349","0","0","0","13","2608789","2608248","Normal"
"12667","Female","36","Private Business","Current","49996858","3608695","Withdrawl","3591","1811","13922","1992","125239","88","48","668295","667073","Normal"
"12668","Female","39","Employee","Saving","1913477","0","Deposit","36","694","53152","0","1637878","1","8","2551302","2551156","dep_Suspicious"
"12669","Female","21","Student","Saving","634497","600367","Withdrawl","26","150","24403","4002","31378","1","3","1171379","1173830","Normal"
"12670","Male","44","Private Business","Current","49985489","3394731","Withdrawl","3511","1825","14236","1860","107529","82","41","683367","682859","Normal"
"12671","Male","38","Employee","Saving","1917151","0","Withdrawl","32","652","59910","0","0","0","8","2875726","2875809","Normal"
"12672","Male","29","Employee","Saving","1953728","0","Deposit","24","722","81405","0","158091","0","19","3907456","3906036","Normal"
"12673","Male","46","Employee","Current","1775873","600484","Deposit","112","792","15856","758","293775","2","14","761088","760613","dep_Suspicious"
"12674","Male","43","Employee","Saving","2106441","0","Withdrawl","35","711","60184","0","0","1","20","2888833","2886869","Normal"
"12675","Male","40","Private Business","Saving","49950087","39845746","Deposit","32","759","1560940","52497","2018277","0","18","74925130","74925037","Normal"
"12676","Male","20","Student","Saving","748512","572207","Deposit","12","159","62376","3598","30054","0","3","2994048","2995235","Normal"
"12677","Female","44","Employee","Investment","5104599","1051435","Withdrawl","1","1","5104599","1051435","1068454","0","0","245020752","245020908","Normal"
"12678","Female","48","Private Business","Current","50092048","3397707","Withdrawl","3719","1855","13469","1831","72194","74","41","646522","645556","Normal"
"12679","Male","36","Private Business","Current","50149580","3434733","Withdrawl","3523","1817","14234","1890","54601","83","32","683275","683717","smurf_suspicious"
"12680","Male","26","Private Business","Current","50015141","3389576","Deposit","3674","1769","13613","1916","462904","73","45","653436","653794","dep_Suspicious"
"12681","Male","44","Private Business","Current","50011517","3515922","Withdrawl","3617","1801","13826","1952","17533","77","28","663686","664470","Normal"
"12682","Female","35","House Wife","Saving","50011517","3515922","Withdrawl","18","367","2778417","9580","124325","0","11","133364045","133364582","Normal"
"12683","Male","50","Employee","Saving","1884860","0","Withdrawl","38","702","49601","0","0","0","9","2380875","2380659","Normal"
"12684","Male","18","Student","Saving","780404","445348","Deposit","26","157","30015","2836","620486","0","7","1440745","1440936","dep_Suspicious"
"12685","Female","61","Private Business","Current","50009228","3341258","Deposit","3598","1797","13899","1859","1019573","70","33","667160","668408","dep_Suspicious"
"12686","Female","42","Private Business","Saving","50027237","39937045","Deposit","27","731","1852860","54633","2330132","0","13","88937310","88936693","Normal"
"12687","Male","28","Employee","Investment","4880715","997219","Deposit","1","1","4880715","997219","5218037","0","0","234274320","234274082","Normal"
"12688","Female","60","Employee","Saving","2133411","0","Withdrawl","26","676","82054","0","0","0","13","3938604","3938211","Normal"
"12689","Female","31","House Wife","Saving","2133411","0","Withdrawl","28","377","76193","0","0","0","17","3657276","3656696","Normal"
"12690","Male","33","Employee","Investment","5106651","887704","Withdrawl","1","1","5106651","887704","888527","0","0","245119248","245119281","Normal"
"12691","Male","26","Employee","Current","1740285","1058677","Deposit","155","800","11227","1323","721190","3","24","538926","539341","dep_Suspicious"
"12692","Male","44","Employee","Saving","2091702","0","Withdrawl","25","684","83668","0","0","0","16","4016067","4016704","Normal"
"12693","Female","30","Employee","Saving","2037825","0","Withdrawl","27","699","75475","0","0","2","13","3622800","3622609","Normal"
"12694","Male","18","Student","Saving","884640","479794","Withdrawl","24","147","36860","3263","38633","0","2","1769280","1769824","Normal"
"12695","Male","37","Private Business","Current","50033071","3446204","Deposit","3515","1810","14234","1903","2029233","75","45","683239","682852","dep_Suspicious"
"12696","Male","60","Employee","Saving","2002801","0","Deposit","26","698","77030","0","299595","0","15","3697478","3697463","dep_Suspicious"
"12697","Female","55","House Wife","Saving","2002801","0","Withdrawl","22","356","91036","0","0","1","4","4369747","4369646","Normal"
"12698","Female","28","Private Business","Current","49996852","3704433","Deposit","3575","1788","13985","2071","584477","75","34","671286","672755","dep_Suspicious"
"12699","Female","56","Employee","Saving","2107583","0","Deposit","29","722","72675","0","347658","0","14","3488413","3489829","dep_Suspicious"
"12700","Female","57","Employee","Current","1610584","1073537","Deposit","156","795","10324","1350","45520","6","14","495564","495622","dep_Suspicious"
"12701","Male","32","Employee","Current","1721619","981200","Withdrawl","142","819","12124","1198","3478","4","14","581955","581495","Normal"
"12702","Male","22","Private Business","Current","49989335","3391490","Deposit","3594","1736","13909","1953","438752","67","28","667637","668048","dep_Suspicious"
"12703","Female","19","Student","Saving","712053","570132","Withdrawl","32","133","22251","4286","293677","1","3","1068079","1068837","Normal"
"12704","Female","33","House Wife","Saving","712053","570132","Withdrawl","24","378","29668","1508","9321","0","8","1424106","1424216","Normal"
"12705","Male","40","Private Business","Current","50016713","3500918","Deposit","3551","1776","14085","1971","1665389","81","41","676091","674511","dep_Suspicious"
"12706","Male","42","Private Business","Investment","49899120","9965797","Deposit","2","1","24949560","9965797","25540641","0","1","1197578880","1197579085","Normal"
"12707","Male","33","Private Business","Current","50023468","3449541","Withdrawl","3699","1826","13523","1889","24953","102","39","649128","648487","Normal"
"12708","Male","48","Employee","Saving","2014641","0","Withdrawl","36","702","55962","0","0","0","16","2686188","2686539","Normal"
"12709","Male","58","Employee","Saving","2090649","0","Deposit","27","736","77431","0","13004","1","16","3716709","3717225","Normal"
"12710","Male","34","Employee","Saving","1980047","0","Deposit","46","719","43044","0","409529","1","12","2066136","2066543","dep_Suspicious"
"12711","Male","62","Private Business","Current","49882589","3643616","Deposit","3529","1791","14135","2034","1204969","68","45","678482","678598","smurf_suspicious"
"12712","Female","35","Employee","Saving","1982341","0","Withdrawl","27","710","73420","0","0","2","20","3524161","3524255","Normal"
"12713","Male","48","Private Business","Saving","49924696","39983763","Withdrawl","40","700","1248117","57119","194095","1","17","59909635","59908583","Normal"
"12714","Male","22","Employee","Current","1650532","773705","Withdrawl","117","759","14107","1019","855","0","13","677141","676920","Normal"
"12715","Male","59","Employee","Current","1757436","994211","Deposit","147","808","11955","1230","338690","1","18","573856","574677","dep_Suspicious"
"12716","Male","18","Student","Saving","695664","555063","Withdrawl","16","153","43479","3627","72851","0","3","2086992","2087570","Normal"
"12717","Male","35","Employee","Saving","2311875","0","Withdrawl","40","694","57796","0","0","1","18","2774250","2774620","Normal"
"12718","Female","28","House Wife","Saving","2311875","0","Deposit","29","373","79719","0","455622","0","5","3826551","3825902","dep_Suspicious"
"12719","Male","34","Employee","Current","1591112","909577","Withdrawl","142","868","11205","1047","206771","5","18","537840","537997","Normal"
"12720","Male","43","Employee","Current","1804379","1092820","Withdrawl","150","790","12029","1383","83465","0","12","577401","576526","Normal"
"12721","Male","61","Employee","Saving","2058216","0","Withdrawl","35","729","58806","0","0","0","13","2822696","2823832","Normal"
"12722","Male","45","Employee","Saving","1893323","0","Withdrawl","30","720","63110","0","0","1","17","3029316","3030345","Normal"
"12723","Female","33","Private Business","Current","50026677","3673773","Withdrawl","3538","1758","14139","2089","108929","67","32","678711","678684","Normal"
"12724","Male","24","Employee","Saving","2058866","0","Withdrawl","33","736","62389","0","0","1","14","2994714","2995645","Normal"
"12725","Male","25","Private Business","Current","49945718","3474019","Withdrawl","3524","1785","14173","1946","82129","68","40","680304","679199","Normal"
"12726","Male","37","Private Business","Saving","49996024","40081691","Withdrawl","35","725","1428457","55285","186533","1","13","68565975","68567001","Normal"
"12727","Male","45","Employee","Saving","1976006","0","Withdrawl","36","709","54889","0","0","1","10","2634674","2633296","Normal"
"12728","Male","51","Private Business","Saving","50105735","40061938","Deposit","27","734","1855767","54580","1373296","0","7","89076862","89073806","Normal"
"12729","Male","28","Employee","Current","1801578","1099270","Deposit","139","792","12960","1387","139207","1","17","622127","622781","dep_Suspicious"
"12730","Male","57","Private Business","Current","49993430","3640013","Deposit","3540","1758","14122","2070","645191","61","34","677877","677425","dep_Suspicious"
"12731","Male","26","Private Business","Current","50041611","3414196","Deposit","3633","1801","13774","1895","428076","70","29","661160","661481","dep_Suspicious"
"12732","Male","38","Employee","Current","1767025","979103","Deposit","135","807","13089","1213","151544","3","20","628275","627844","dep_Suspicious"
"12733","Female","44","Private Business","Saving","49944676","39901236","Deposit","33","708","1513475","56357","1092565","0","9","72646801","72647002","Normal"
"12734","Male","61","Employee","Saving","2111052","0","Withdrawl","37","708","57055","0","0","5","14","2738662","2737538","Normal"
"12735","Male","40","Employee","Saving","1924995","0","Deposit","33","686","58333","0","35207","0","8","2799992","2801290","Normal"
"12736","Male","59","Employee","Current","1797401","1000554","Withdrawl","159","814","11304","1229","31730","5","20","542611","543067","Normal"
"12737","Male","18","Student","Saving","748439","429365","Withdrawl","19","150","39391","2862","107620","0","1","1890793","1891224","Normal"
"12738","Female","40","Private Business","Current","49990133","3303228","Withdrawl","3578","1850","13971","1785","33489","59","41","670633","670075","Normal"
"12739","Male","30","Employee","Saving","2113452","0","Withdrawl","27","712","78276","0","0","0","13","3757248","3757696","Normal"
"12740","Male","34","Employee","Saving","1958547","0","Deposit","24","738","81606","0","173488","1","18","3917094","3917179","dep_Suspicious"
"12741","Male","41","Employee","Saving","2030346","0","Withdrawl","31","739","65495","0","0","0","24","3143761","3142690","Normal"
"12742","Male","25","Private Business","Saving","50022839","39883101","Withdrawl","27","704","1852697","56652","21191","0","9","88929491","88928650","Normal"
"12743","Female","40","Private Business","Current","49958525","3619277","Withdrawl","3632","1771","13755","2043","111417","83","42","660244","660635","Normal"
"12744","Male","49","Employee","Saving","1995307","0","Withdrawl","27","699","73900","0","0","1","21","3547212","3546536","Normal"
"12745","Male","28","Employee","Current","1595500","832987","Withdrawl","145","763","11003","1091","36611","4","18","528165","528388","Normal"
"12746","Male","29","Employee","Saving","2141358","0","Withdrawl","36","749","59482","0","0","1","14","2855144","2855740","Normal"
"12747","Female","41","Private Business","Current","49958589","3469232","Deposit","3500","1836","14273","1889","113748","73","28","685146","685010","dep_Suspicious"
"12748","Male","37","Private Business","Current","50125405","3523729","Deposit","3533","1800","14187","1957","694517","70","40","681013","680671","dep_Suspicious"
"12749","Female","24","Employee","Saving","1984159","0","Withdrawl","26","705","76313","0","0","0","17","3663062","3662400","Normal"
"12750","Male","56","Employee","Current","1733312","913194","Deposit","140","820","12380","1113","376496","5","15","594278","593475","dep_Suspicious"
"12751","Male","44","Private Business","Saving","49898693","40078872","Withdrawl","30","685","1663289","58509","358836","0","16","79837908","79841507","Normal"
"12752","Female","41","Employee","Current","1887439","847023","Deposit","155","836","12177","1013","8270","3","21","584497","585338","Normal"
"12753","Male","20","Private Business","Current","49944809","3429880","Deposit","3628","1844","13766","1860","18288","70","40","660791","661259","Normal"
"12754","Male","41","Employee","Investment","4773033","1055177","Withdrawl","1","1","4773033","1055177","1134019","0","0","229105584","229106824","Normal"
"12755","Female","34","House Wife","Saving","4773033","1055177","Withdrawl","26","396","183578","2664","69015","0","9","8811753","8811713","Normal"
"12756","Male","33","Employee","Current","1845096","997505","Withdrawl","154","765","11981","1303","102558","3","18","575094","576731","Normal"
"12757","Male","40","Employee","Current","1894989","949457","Withdrawl","151","786","12549","1207","98437","3","16","602380","603505","Normal"
"12758","Male","54","Employee","Current","1919731","937859","Deposit","143","804","13424","1166","534398","5","18","644385","643324","dep_Suspicious"
"12759","Male","26","Employee","Current","1794909","907207","Withdrawl","129","816","13914","1111","289429","3","15","667873","669179","Normal"
"12760","Male","58","Private Business","Current","49952087","3666898","Deposit","3405","1771","14670","2070","781534","77","36","704170","704271","dep_Suspicious"
"12761","Female","42","Employee","Saving","2022324","0","Withdrawl","29","731","69735","0","0","1","26","3347294","3346668","Normal"
"12762","Male","38","Employee","Current","1540465","987088","Withdrawl","153","810","10068","1218","165609","5","18","483283","483479","Normal"
"12763","Male","46","Private Business","Saving","50059459","40060019","Deposit","36","683","1390540","58653","1252019","0","14","66745945","66746519","Normal"
"12764","Male","35","Employee","Saving","1872873","0","Deposit","27","732","69365","0","1707797","0","20","3329552","3329601","dep_Suspicious"
"12765","Female","41","Employee","Saving","1968637","0","Withdrawl","21","676","93744","0","0","0","11","4499741","4499649","Normal"
"12766","Male","43","Employee","Saving","1972870","0","Withdrawl","28","739","70459","0","0","0","19","3382062","3383469","Normal"
"12767","Female","18","Student","Saving","586647","479899","Deposit","26","145","22563","3309","118987","2","6","1083040","1083815","dep_Suspicious"
"12768","Male","52","Employee","Saving","1870029","0","Withdrawl","25","735","74801","0","0","2","16","3590455","3589588","Normal"
"12769","Female","26","House Wife","Saving","1870029","0","Deposit","27","363","69260","0","1063151","0","6","3324496","3325572","dep_Suspicious"
"12770","Male","41","Employee","Saving","2008040","0","Withdrawl","33","699","60849","0","0","0","12","2920785","2921655","Normal"
"12771","Male","33","Employee","Current","1734646","938904","Withdrawl","150","812","11564","1156","3790","2","18","555086","554341","Normal"
"12772","Female","22","Employee","Saving","1812504","0","Withdrawl","23","703","78804","0","0","0","9","3782617","3781676","Normal"
"12773","Male","26","Private Business","Saving","49968088","40144997","Withdrawl","31","719","1611873","55834","178252","0","15","77369942","77369708","Normal"
"12774","Male","69","Retired","Saving","597294","569973","Withdrawl","16","147","37330","3877","51260","0","2","1791882","1791068","Normal"
"12775","Male","31","Employee","Saving","1979362","0","Withdrawl","34","742","58216","0","0","1","12","2794393","2795187","Normal"
"12776","Male","29","Private Business","Investment","49902396","9892090","Withdrawl","2","1","24951198","9892090","9943804","0","0","1197657504","1197658724","Normal"
"12777","Male","20","Student","Saving","836142","418482","Withdrawl","24","146","34839","2866","69660","0","7","1672284","1672949","Normal"
"12778","Male","24","Employee","Saving","2155094","0","Withdrawl","29","727","74313","0","0","0","14","3567052","3566396","Normal"
"12779","Male","53","Private Business","Current","50132821","3608662","Withdrawl","3607","1787","13898","2019","33448","81","22","667140","666049","Normal"
"12780","Female","27","House Wife","Saving","50132821","3608662","Deposit","17","326","2948989","11069","2159955","1","7","141551494","141551299","Normal"
"12781","Male","34","Employee","Current","1896821","803318","Deposit","150","815","12645","985","506365","2","28","606982","607196","dep_Suspicious"
"12782","Male","35","Employee","Saving","1853031","0","Withdrawl","30","719","61767","0","0","0","15","2964849","2965255","Normal"
"12783","Male","31","Student","Saving","655716","625818","Withdrawl","34","150","19285","4172","51280","1","5","925716","924918","Normal"
"12784","Female","29","Employee","Saving","2079530","0","Withdrawl","34","731","61162","0","0","1","15","2935807","2933424","Normal"
"12785","Male","45","Employee","Saving","1999853","0","Withdrawl","23","766","86950","0","0","1","13","4173606","4175558","Normal"
"12786","Male","49","Employee","Current","1704568","875832","Deposit","114","797","14952","1098","430568","4","11","717712","716538","dep_Suspicious"
"12787","Female","30","Employee","Saving","2032030","0","Withdrawl","36","733","56445","0","0","1","15","2709373","2710100","Normal"
"12788","Male","32","Private Business","Saving","50038520","40013163","Withdrawl","30","681","1667950","58756","175877","1","12","80061632","80062882","Normal"
"12789","Male","75","Retired","Current","809789","588625","Withdrawl","1091","394","742","1493","10754","28","10","35627","33485","Normal"
"12790","Male","40","Employee","Current","1924558","891622","Deposit","126","821","15274","1086","1295812","1","14","733164","731711","dep_Suspicious"
"12791","Male","49","Private Business","Saving","49793407","40087465","Deposit","28","713","1778335","56223","1494582","0","17","85360126","85359864","Normal"
"12792","Male","22","Employee","Saving","1954997","0","Withdrawl","31","689","63064","0","0","0","16","3027092","3027846","Normal"
"12793","Female","54","Employee","Saving","2005229","0","Deposit","27","706","74267","0","112298","2","17","3564851","3564322","Normal"
"12794","Male","30","Private Business","Saving","49888204","39878212","Deposit","38","747","1312847","53384","2388298","0","11","63016678","63016050","Normal"
"12795","Female","18","Student","Saving","741547","548775","Withdrawl","23","157","32241","3495","193403","0","2","1547576","1548286","Normal"
"12796","Female","37","Employee","Saving","1836491","0","Withdrawl","26","716","70634","0","0","1","17","3390444","3390795","Normal"
"12797","Female","27","Employee","Saving","2179078","0","Deposit","33","680","66032","0","813075","2","13","3169568","3169823","dep_Suspicious"
"12798","Male","35","Employee","Current","1789959","835556","Withdrawl","129","791","13875","1056","193702","2","17","666031","666641","Normal"
"12799","Male","22","Employee","Saving","2135438","0","Withdrawl","27","703","79090","0","0","2","17","3796334","3795167","Normal"
"12800","Male","26","Employee","Saving","2041471","0","Withdrawl","28","742","72909","0","0","0","16","3499664","3499847","Normal"
"12801","Male","40","Employee","Current","1863559","894771","Withdrawl","131","794","14225","1126","92212","2","20","682830","682252","Normal"
"12802","Male","30","Employee","Saving","2178234","0","Withdrawl","26","656","83778","0","0","1","14","4021355","4021903","Normal"
"12803","Male","49","Employee","Saving","2081793","0","Withdrawl","28","744","74349","0","0","2","13","3568788","3567576","Normal"
"12804","Male","49","Employee","Saving","2063159","0","Withdrawl","31","675","66553","0","0","0","16","3194568","3195158","Normal"
"12805","Male","36","Private Business","Current","50003657","3553878","Withdrawl","3607","1729","13862","2055","144148","76","42","665421","663557","Normal"
"12806","Female","53","House Wife","Saving","50003657","3553878","Deposit","29","365","1724264","9736","2436080","1","10","82764673","82766232","Normal"
"12807","Female","36","Private Business","Current","50187408","3551633","Deposit","3656","1824","13727","1947","150971","85","44","658915","658274","dep_Suspicious"
"12808","Male","46","Employee","Saving","2130939","0","Withdrawl","41","732","51974","0","0","0","18","2494757","2495290","Normal"
"12809","Male","29","Employee","Saving","1945901","0","Deposit","27","686","72070","0","682731","0","10","3459379","3458631","dep_Suspicious"
"12810","Male","19","Student","Saving","842201","668795","Withdrawl","25","163","33688","4103","165409","0","4","1617025","1617113","Normal"
"12811","Male","33","Employee","Saving","1978261","0","Deposit","38","741","52059","0","412957","0","18","2498856","2499922","dep_Suspicious"
"12812","Male","32","Employee","Saving","2120459","0","Withdrawl","27","722","78535","0","0","0","11","3769704","3768503","Normal"
"12813","Male","53","Employee","Saving","1947761","0","Withdrawl","39","754","49942","0","0","0","14","2397244","2396722","Normal"
"12814","Male","47","Employee","Current","1953600","975475","Withdrawl","143","843","13661","1157","188550","3","17","655753","654352","Normal"
"12815","Male","62","Private Business","Current","49952167","3529211","Deposit","3520","1766","14190","1998","18758","72","34","681165","681297","smurf_suspicious"
"12816","Female","27","House Wife","Saving","49952167","3529211","Withdrawl","26","365","1921237","9669","41295","0","6","92219385","92220567","Normal"
"12817","Female","19","Student","Saving","619645","554013","Deposit","23","157","26941","3528","3500","0","0","1293172","1292407","Normal"
"12818","Female","39","House Wife","Saving","619645","554013","Deposit","29","381","21367","1454","2785614","0","10","1025619","1025468","dep_Suspicious"
"12819","Male","21","Student","Saving","580143","464526","Withdrawl","24","157","24172","2958","41022","0","1","1160286","1159700","Normal"
"12820","Male","24","Employee","Current","1729435","899872","Deposit","138","841","12532","1070","209325","5","23","601542","601457","dep_Suspicious"
"12821","Male","27","Private Business","Current","50047917","3553322","Deposit","3596","1794","13917","1980","499865","71","34","668047","667342","dep_Suspicious"
"12822","Female","24","Employee","Saving","2004462","0","Withdrawl","31","713","64660","0","0","0","14","3103683","3103147","Normal"
"12823","Male","26","Employee","Saving","1929342","0","Deposit","23","697","83884","0","1706405","0","17","4026452","4025976","dep_Suspicious"
"12824","Female","52","Employee","Saving","1994467","0","Withdrawl","41","743","48645","0","0","0","21","2334985","2332708","Normal"
"12825","Male","35","Employee","Current","1692887","728274","Withdrawl","128","805","13225","904","142371","2","15","634832","635570","Normal"
"12826","Male","57","Employee","Saving","2075484","0","Withdrawl","33","740","62893","0","0","0","17","3018885","3017334","Normal"
"12827","Female","28","Private Business","Saving","49887663","39985930","Deposit","29","697","1720264","57368","2911563","1","7","82572683","82574917","Normal"
"12828","Male","24","Employee","Investment","4935747","896103","Withdrawl","2","3","2467873","298701","306025","0","0","118457928","118457100","Normal"
"12829","Female","19","Student","Saving","805220","451478","Withdrawl","23","141","35009","3201","114967","0","3","1680459","1679456","Normal"
"12830","Female","31","Employee","Saving","2004544","0","Withdrawl","28","692","71590","0","0","0","15","3436361","3436793","Normal"
"12831","Female","43","Employee","Saving","1956384","0","Withdrawl","29","751","67461","0","0","1","14","3238152","3238885","Normal"
"12832","Female","24","Private Business","Saving","50116235","40259781","Withdrawl","31","714","1616652","56386","39954","1","22","77599331","77599032","Normal"
"12833","Male","20","Student","Saving","636579","656440","Withdrawl","18","132","35365","4973","84044","0","1","1697544","1698316","Normal"
"12834","Male","57","Employee","Saving","1988505","0","Withdrawl","31","784","64145","0","0","0","12","3078975","3079949","Normal"
"12835","Male","76","Retired","Current","485250","564088","Withdrawl","1036","394","468","1431","79273","19","8","22482","22438","Normal"
"12836","Female","22","House Wife","Saving","485250","564088","Withdrawl","28","397","17330","1420","76206","0","9","831857","830311","Normal"
"12837","Female","53","Employee","Current","1679395","826915","Deposit","156","760","10765","1088","2769369","1","16","516736","518077","dep_Suspicious"
"12838","Female","30","Employee","Saving","1869299","0","Withdrawl","21","720","89014","0","0","0","13","4272683","4273569","Normal"
"12839","Female","48","House Wife","Saving","1869299","0","Deposit","26","321","71896","0","1231119","1","4","3451013","3450854","dep_Suspicious"
"12840","Male","19","Student","Saving","872388","594492","Withdrawl","16","148","54524","4016","127993","0","4","2617164","2616674","Normal"
"12841","Female","30","Private Business","Current","49902963","3661492","Deposit","3532","1826","14128","2005","280717","66","39","678182","679517","dep_Suspicious"
"12842","Male","19","Student","Saving","682535","525796","Withdrawl","33","131","20682","4013","52399","0","4","992778","990967","Normal"
"12843","Female","18","Student","Saving","725400","403360","Withdrawl","30","131","24180","3079","20206","0","3","1160640","1158840","Normal"
"12844","Female","39","Employee","Saving","2066791","0","Withdrawl","25","676","82671","0","0","0","12","3968238","3967465","Normal"
"12845","Male","56","Employee","Current","1938184","880296","Withdrawl","146","825","13275","1067","50070","4","16","637211","638417","Normal"
"12846","Female","75","House Wife","Saving","1938184","880296","Deposit","23","347","84268","2536","947311","0","5","4044905","4045257","dep_Suspicious"
"12847","Female","21","Student","Saving","547704","356614","Withdrawl","25","140","21908","2547","80768","0","2","1051591","1049777","Normal"
"12848","Male","19","Student","Saving","620185","536271","Withdrawl","23","130","26964","4125","207715","0","3","1294299","1293518","Normal"
"12849","Male","44","Employee","Saving","1923162","0","Withdrawl","29","716","66315","0","0","0","12","3183164","3183234","Normal"
"12850","Male","43","Private Business","Current","49869431","3667294","Withdrawl","3706","1773","13456","2068","69561","73","45","645907","645954","Normal"
"12851","Female","45","House Wife","Saving","49869431","3667294","Deposit","24","360","2077892","10186","52145","0","7","99738862","99738827","Normal"
"12852","Male","39","Private Business","Current","50027807","3438662","Deposit","3536","1793","14148","1917","95867","72","38","679110","678768","dep_Suspicious"
"12853","Male","48","Private Business","Saving","49868919","40189061","Withdrawl","28","758","1781032","53019","62037","1","23","85489575","85489914","Normal"
"12854","Female","32","Employee","Current","1814909","969483","Deposit","145","782","12516","1239","820682","1","15","600797","600372","dep_Suspicious"
"12855","Female","24","Employee","Saving","2121856","0","Withdrawl","23","721","92254","0","0","0","12","4428221","4427625","Normal"
"12856","Male","58","Employee","Saving","1927154","0","Withdrawl","30","712","64238","0","0","1","20","3083446","3085017","Normal"
"12857","Male","24","Private Business","Current","49941306","3329651","Withdrawl","3623","1804","13784","1845","90777","84","36","661656","662501","Normal"
"12858","Male","54","Employee","Saving","1889180","0","Withdrawl","34","746","55564","0","0","1","18","2667077","2665896","Normal"
"12859","Female","21","Student","Saving","689273","470927","Deposit","30","150","22975","3139","612791","1","3","1102836","1100840","dep_Suspicious"
"12860","Female","39","Private Business","Current","49998768","3505816","Deposit","3516","1820","14220","1926","22359","78","36","682577","682541","Normal"
"12861","Male","61","Employee","Saving","1818154","0","Deposit","38","701","47846","0","390260","1","15","2296615","2295000","dep_Suspicious"
"12862","Female","46","Employee","Saving","2008386","0","Withdrawl","18","744","111577","0","0","1","18","5355696","5356848","Normal"
"12863","Male","21","Student","Saving","662314","413732","Withdrawl","27","154","24530","2686","204923","0","4","1177447","1177418","Normal"
"12864","Female","19","Student","Saving","607584","527889","Withdrawl","22","140","27617","3770","11648","1","6","1325637","1325764","Normal"
"12865","Female","19","Private Business","Current","50135172","3438707","Withdrawl","3558","1809","14090","1900","167470","84","37","676359","675865","Normal"
"12866","Female","35","Private Business","Saving","49966384","40186508","Withdrawl","33","714","1514132","56283","60118","0","16","72678376","72678940","Normal"
"12867","Male","33","Employee","Saving","1900911","0","Withdrawl","31","666","61319","0","0","1","10","2943346","2942125","Normal"
"12868","Female","58","Private Business","Saving","49879361","40008473","Deposit","27","703","1847383","56911","1859002","0","21","88674419","88675967","Normal"
"12869","Male","67","Retired","Saving","827021","398498","Withdrawl","8","157","103377","2538","96774","0","5","4962126","4962849","Normal"
"12870","Male","55","Employee","Current","1872766","1033944","Withdrawl","134","771","13975","1341","5812","4","21","670841","671112","Normal"
"12871","Male","79","Retired","Investment","1481980","116295","Deposit","1","1","1481980","116295","782883","0","0","71135040","71136527","Normal"
"12872","Male","65","Retired","Saving","851420","530342","Withdrawl","12","146","70951","3632","93789","1","4","3405680","3407065","Normal"
"12873","Female","62","House Wife","Saving","851420","530342","Withdrawl","19","351","44811","1510","133321","1","4","2150955","2150773","Normal"
"12874","Male","50","Private Business","Current","50015773","3514744","Withdrawl","3626","1764","13793","1992","258215","70","41","662095","661186","Normal"
"12875","Male","51","Private Business","Current","50188485","3544431","Deposit","3529","1832","14221","1934","483461","93","48","682643","681626","dep_Suspicious"
"12876","Female","36","Employee","Current","1844137","799302","Withdrawl","141","820","13078","974","103023","0","19","627791","627926","Normal"
"12877","Female","48","Private Business","Current","49885493","3683613","Withdrawl","3585","1813","13915","2031","38325","89","26","667922","668258","Normal"
"12878","Male","28","Private Business","Current","49989414","3589716","Withdrawl","3623","1803","13797","1990","13457","70","37","662294","662329","Normal"
"12879","Male","20","Student","Saving","644223","381964","Withdrawl","22","135","29282","2829","53496","0","5","1405577","1405845","Normal"
"12880","Male","25","Employee","Saving","2004324","0","Withdrawl","27","696","74234","0","0","1","17","3563242","3564294","Normal"
